MC_Enroll_Institution_Code,MC_Enroll_Institution_Name,MC_Enroll_Academic_Period,MC_Enroll_Student_ID,MC_Enroll_Emirates_ID,MC_Enroll_Missing_EID,MC_Enroll_Student_Name_English,MC_Enroll_Student_Name_Arabic,MC_Enroll_Gender,MC_Enroll_Student_DOB,MC_Enroll_Student_Email_Address,MC_Enroll_Student_Mobile_Number,MC_Enroll_Health_Fitness_Certificate,MC_Enroll_Special_Needs,MC_Enroll_Nationality,MC_Enroll_Home_Emirate,MC_Enroll_Student_Campus,MC_Enroll_Student_Type,MC_Enroll_1st_Academic_Period,MC_Enroll_Student_Level,MC_Enroll_Student_Degree,MC_Enroll_Program_Code,MC_Enroll_Mode_of_Study,MC_Enroll_Employment_Status,MC_Enroll_Employment_Sector,MC_Enroll_Employment_Position,MC_Enroll_Required_Academic_Period,MC_Enroll_Required_Credits_Graduation,MC_Enroll_Current_Registered_Credits,MC_Enroll_Total_Credits_Registered,MC_Enroll_Total_Credits_Cumulated,MC_Enroll_GPA_Cumulative,Last_Updated
84,Dubai Medical College,202503,STU202442226,784200558578923,Visiting,Maitha Al Mansoori,محمد حسن,M,1993-12-31,abdullah.hassan907@institution.ac.ae,+9710529135517,Y,VI,AE,Dubai,DB,Full-time,202503,MC,MS,76.MC.1,FT,Pending,Private,Assistant Engineer,202503,56,8,433,256,3.17,2023-11-26
76,Zayed University,202503,STU202379156,784199781650888,Visiting,Aisha Al Falasi,حسن عبدالله,F,1997-06-22,saeed.al.mazrouei712@institution.ac.ae,+9710526325655,Y,VI,CA,Fujairah,DB,Part-time,202503,MC,BA,76.MC.1,FT,Completed,Private,Assistant Engineer,202503,15,83,143,426,3.32,2021-02-28
78,American University of Sharjah,202502,STU202064705,784200199582176,Visiting,Maitha Khan,حسن عبدالله,F,1974-11-19,mohammed.al.kaabi927@institution.ac.ae,+9710585122951,Y,VI,LB,Umm Al Quwain,DB,Part-time,202502,MC,DIP,76.MC.1,FT,Active,Private,Assistant Engineer,202502,46,63,352,252,2.36,2022-08-15
81,Ajman University,202501,STU202323425,784199546411141,Visiting,Abdullah Singh,خالد راشد,M,1991-11-04,sara.al.falasi281@institution.ac.ae,+9710586606029,Y,VI,LB,Ajman,DB,Online,202501,MC,MS,76.MC.1,FT,Active,Private,Assistant Engineer,202501,53,28,94,497,2.41,2024-11-16
78,American University of Sharjah,202502,STU202584542,784199530925340,Visiting,Noura Hassan,عائشة سالم,F,1972-08-28,majid.al.kaabi756@institution.ac.ae,+9710522702970,Y,VI,LB,Sharjah,DB,Full-time,202502,MC,MA,76.MC.1,FT,Active,Private,Assistant Engineer,202502,17,85,307,274,2.18,2025-06-22
83,British University in Dubai,202503,STU202078603,784199844811741,Visiting,Shamma Al Falasi,حسن عبدالله,M,1989-04-28,mohammed.hassan8@institution.ac.ae,+9710529249653,Y,VI,SY,Dubai,DB,Part-time,202503,MC,PhD,76.MC.1,FT,In Progress,Private,Assistant Engineer,202503,70,48,253,215,2.7,2023-04-04
82,American University in Dubai,202503,STU202564759,784200386235671,Visiting,Mohammed Khan,أحمد محمد,M,1998-05-24,saeed.patel571@institution.ac.ae,+9710568136473,Y,VI,LB,Umm Al Quwain,DB,Part-time,202503,MC,BS,76.MC.1,FT,Inactive,Private,Assistant Engineer,202503,92,31,289,398,3.81,2024-01-29
75,United Arab Emirates University,202501,STU202329382,784199271885136,Visiting,Maryam Al Dhaheri,فاطمة علي,F,1998-06-13,noura.al.falasi535@institution.ac.ae,+9710565201468,Y,VI,GB,Abu Dhabi,DB,Full-time,202501,MC,MBA,76.MC.1,FT,In Progress,Private,Assistant Engineer,202501,21,63,252,213,3.08,2020-08-21
77,Khalifa University,202403,STU202143979,784200218331715,Visiting,Amna Singh,علي خالد,M,2005-09-29,mohammed.al.kaabi261@institution.ac.ae,+9710557522690,Y,VI,AE,Ras Al Khaimah,DB,Online,202403,MC,BS,76.MC.1,FT,Inactive,Private,Assistant Engineer,202403,40,65,223,410,2.33,2021-04-13
77,Khalifa University,202503,STU202045948,784199237413150,Visiting,Noura Khan,حسن عبدالله,M,1976-08-15,ali.khan269@institution.ac.ae,+9710503988244,Y,VI,IN,Fujairah,DB,Online,202503,MC,CRT,76.MC.1,FT,Active,Private,Assistant Engineer,202503,30,95,271,346,2.51,2022-12-18
77,Khalifa University,202502,STU202259967,784199561941801,Visiting,Abdullah Ahmed,عائشة سالم,M,1974-08-30,shamma.hassan856@institution.ac.ae,+9710508014600,Y,VI,IQ,Umm Al Quwain,DB,Full-time,202502,MC,MBA,76.MC.1,FT,Pending,Private,Assistant Engineer,202502,4,78,196,408,3.7,2024-08-05
83,British University in Dubai,202501,STU202169831,784199138412536,Visiting,Omar Patel,أحمد محمد,F,1980-01-20,hamad.al.shamsi211@institution.ac.ae,+9710545085930,Y,VI,US,Dubai,DB,Full-time,202501,MC,DIP,76.MC.1,FT,In Progress,Private,Assistant Engineer,202501,15,34,367,251,3.25,2020-01-02
82,American University in Dubai,202501,STU202253282,784199731170989,Visiting,Hessa Ahmed,أحمد محمد,M,1984-04-29,shamma.al.mansoori870@institution.ac.ae,+9710541842862,Y,VI,EG,Sharjah,DB,Part-time,202501,MC,BA,76.MC.1,FT,Pending,Private,Assistant Engineer,202501,69,60,175,458,2.49,2025-10-08
80,Abu Dhabi University,202402,STU202467134,784199779272825,Visiting,Abdullah Patel,نورة سعيد,F,1997-09-25,hessa.al.mazrouei63@institution.ac.ae,+9710542150202,Y,VI,YE,Sharjah,DB,Part-time,202402,MC,DIP,76.MC.1,FT,Completed,Private,Assistant Engineer,202402,12,68,339,109,3.75,2021-07-31
81,Ajman University,202403,STU202029189,784199674942500,Visiting,Saeed Al Zaabi,شما سلطان,F,1997-05-24,mohammed.al.mehairbi811@institution.ac.ae,+9710521278607,Y,VI,PS,Umm Al Quwain,DB,Full-time,202403,MC,MA,76.MC.1,FT,In Progress,Private,Assistant Engineer,202403,64,82,494,218,3.62,2022-02-28
84,Dubai Medical College,202501,STU202174985,784199513777637,Visiting,Hassan Al Kaabi,علي خالد,M,1974-03-22,sultan.al.falasi325@institution.ac.ae,+9710505620796,Y,VI,CA,Ajman,DB,Full-time,202501,MC,BA,76.MC.1,FT,Active,Private,Assistant Engineer,202501,31,49,439,82,3.84,2021-07-17
